University,Program,Degree,Type,Accreditation,Year,Grade,Expiration Date,Status
UIN Salatiga,Hukum Ekonomi Syariah (Muamalah),S1,PTAN,6798/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2027-01-27,Masih berlaku
UIN Salatiga,Bahasa Dan Sastra Arab,S1,PTAN,6808/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-01-05,Masih berlaku
UIN Salatiga,Akuntansi Syariah,S1,PTAN,6823/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-22,Masih berlaku
UIN Salatiga,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,6795/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2026-10-21,Masih berlaku
UIN Mahmud Yunus Batusangkar,Akuntansi Syariah,S1,PTAN,7028/SK/BAN-PT/Ak-PNB/S/X/2022,2022,Baik,2026-10-05,Masih berlaku
UIN Mahmud Yunus Batusangkar,Manajemen Informatika,D-III,PTAN,7022/SK/BAN-PT/Ak-PNB/D3/X/2022,2022,B,2025-12-15,Masih berlaku
UIN Salatiga,Pendidikan Agama Islam,S3,PTAN,6816/SK/BAN-PT/Ak-PNB/D/X/2022,2022,Baik,2026-05-24,Masih berlaku
UIN Salatiga,Ekonomi Syariah,S2,PTAN,6805/SK/BAN-PT/Ak-PNB/M/X/2022,2022,B,2026-03-30,Masih berlaku
UIN Salatiga,Pendidikan Profesi Guru,Profesi,PTAN,6824/SK/BAN-PT/Ak-PNB/PP/X/2022,2022,Baik,2024-08-30,155 hari lagi kadaluarsa
UIN Salatiga,Tadris Matematika,S1,PTAN,6804/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-15,Masih berlaku
UIN Salatiga,Tadris Bahasa Inggris,S1,PTAN,6807/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-09-20,Masih berlaku
UIN Salatiga,Sejarah Peradaban Islam,S1,PTAN,6802/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2026-03-09,Masih berlaku
UIN Salatiga,Psikologi Islam,S1,PTAN,6810/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2025-12-01,Masih berlaku
UIN Salatiga,Perbankan Syariah,S1,PTAN,6799/SK/BAN-PT/Ak-PNB/S/X/2022,2022,A,2025-11-01,Masih berlaku
UIN Sumatera Utara Medan,Biologi,S1,PTAN,6963/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-07-31,125 hari lagi kadaluarsa
UIN Antasari Banjarmasin,Tadris Biologi,S1,PTAN,6853/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2024-10-31,Masih berlaku
