Universitas Papua,Sastra Inggris,S1,PTN,2432/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Muhammadiyah Sumatera Barat,Pendidikan Bahasa Arab,S1,10,2421/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Pramita Indonesia,Akuntansi,S1,04,2409/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Politeknik Praktisi Bandung,Akuntansi,D-III,04,2418/SK/BAN-PT/Akred/Dipl-III/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Ahmad Dahlan,Perbankan Syari'ah,S1,05,2444/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Sekolah Tinggi Sosial Politik Waskita Darma,Ilmu Administrasi Negara,S1,07,2427/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
STIE Syari`ah Al-Mujaddid,Ekonomi Syariah,S1,PTAS,2425/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
STAI Bakti Negara Tegal,Pendidikan Islam Anak Usia Dini,S1,PTAS,2464/SK/BAN-PT/Akred/S/VII/2019,2019,C,2024-07-16,110 hari lagi kadaluarsa
Sekolah Tinggi Agama Hindu Shantika Dharma Malang,Pendidikan Agama Hindu,S1,PTAN,2396/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Indo Global Mandiri,Pendidikan Bahasa Inggris,S1,02,2414/SK/BAN-PT/Akred/S/VII/2019,2019,B,2024-07-16,110 hari lagi kadaluarsa
Universitas Andi Djemma Palopo,Teknik Sipil,S1,09,4007/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-22,Masih berlaku
Universitas PGRI Madiun,Pendidikan Teknik Elektro,S1,07,3913/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-15,Masih berlaku
Universitas Setia Budi Surakarta,Teknik Kimia,S1,06,4146/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-30,Masih berlaku
Universitas Darma Persada,Manajemen,S1,03,4167/SK/BAN-PT/Akred/S/X/2019,2019,B,2024-10-31,Masih berlaku
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,Ekonomi Pembangunan,S1,09,322/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-,Masih berlaku
